label,message,clean_email
ham,Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff alright way meet soon
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,force eat slice m hungry tho suck mark get worry know m sick turn pizza lol
ham,Lol your always so convincing.,lol convincing
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,catch bus   fry egg   tea eat mom leave dinner   feel love
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",m amp pack car ill let know s room
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh work vaguely remember feel like lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait s clear sure sarcastic s x not want live
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah get   v apologetic n fall actin like spoilt child get catch till   will not badly cheer
ham,K tell me anything about you.,k tell
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,fear faint housework quick cuppa
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thank subscription ringtone uk mobile charge month confirm reply yes reply charge
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok home look timing msg   xuhui go learn nd lesson
ham,"Oops, I'll let you know when my roommate's done",oops ill let know roommate
ham,I see the letter B on my car,letter b car
ham,Anything lor... U decide...,lor u decide
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello s saturday texte d decide tomo m try invite
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls ahead watt want sure great weekend abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",forget tell   want   need crave     love sweet arabian steed   mmmmmm   yummy
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,   rodger burn   msg   try reply sms free nokia mobile   free camcorder   delivery tomorrow
ham,WHO ARE YOU SEEING?,see
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great hope like man endow   ltgt   inch
ham,No calls..messages..missed calls,callsmessagesmisse call
ham,Didn't you get hep b immunisation in nigeria.,not hep b immunisation nigeria
ham,"Fair enough, anything going on?",fair go
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hopefully tyler not maybe ask bit
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,u not know stubborn not want hospital keep tell mark m weak sucker hospital weak sucker
ham,What you thinked about me. First time you saw me in class.,think time see class
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",gram usually run like   ltgt   half eighth smart get second gram   ltgt
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,k fyi x ride early tomorrow morning s crash place tonight
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",wow realize embarasse accomodation think like good happy cave m sorry not not m sorry offer m sorry room embarasse
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,know mallika sherawat yesterday find    lturlgt
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",congrat   year special cinema pass     c suprman v matrix starwar etc   free bxipwe pm not miss
ham,"Sorry, I'll call later in meeting.",sorry ill later meeting
ham,Tell where you reached,tell reach
ham,Yes..gauti and sehwag out of odi series.,yesgauti sehwag odi series
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,go to pick   burger way home not pain kill
ham,Ha ha ha good joke. Girls are situation seekers.,ha ha ha good joke girl situation seeker
ham,Its a part of checking IQ,check iq
ham,"Sorry my roommates took forever, it ok if I come by now?",sorry roommate take forever ok come
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ok lar double check wif da hair dresser say wun cut v short say cut look nice
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",value customer pleased advise follow recent review mob award   bonus prize
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",today song dedicated day song u dedicate send ur valuable frnd rply
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",urgent ur award complimentary trip eurodisinc trav acoentry   claim txt dis   morefrmmob shracomorsglsuplt ls aj
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",hear new divorce barbie come ken stuff
ham,I plane to give on this month end.,plane month end
ham,Wah lucky man... Then can save money... Hee...,wah lucky man save money hee
ham,Finished class where are you.,finish class
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,hi babe m home wanna xx
ham,K..k:)where are you?how did you performed?,kkwhere youhow perform
ham,U can call me now...,u
ham,I am waiting machan. Call me once you free.,wait machan free
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,s cool gentleman treat dignity respect
ham,I like you peoples very much:) but am very shy pa.,like people shy pa
ham,Does not operate after  &lt;#&gt;  or what,operate   ltgt  
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,look job ta earn
ham,"Sorry, I'll call later",sorry ill later
ham,K. Did you call me just now ah? ,k ah
ham,Ok i am on the way to home hi hi,ok way home hi hi
ham,You will be in the place of that man,place man
ham,Yup next stop.,yup stop
ham,"I call you later, don't have network. If urgnt, sms me.",later not network urgnt sm
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,real u get yo need   ticket jacket m multis
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,yes start send request pain come m bed double coin factory get to cash nitro
ham,I'm really not up to it still tonight babe,m tonight babe
ham,"Ela kano.,il download, come wen ur free..",ela kanoil download come wen ur free
ham,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,yeah not stand close tho ll catch
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,sorry pain ok meet night spend late afternoon casualty mean not y stuffmoro include time sheet sorry
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile pleasure smile pain smile trouble pour like rain smile sum hurt u smile becoz love u smile
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,customer service representative     ampm win guarantee   cash   prize
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,not plan buy later check lido get   e afternoon u finish work
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",free ringtone wait collect simply text password mix   verify usher britney fml
ham,Watching telugu movie..wat abt u?,watch telugu moviewat abt u
ham,i see. When we finish we have loads of loans to pay,finish load loan pay
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",hi wk ok   hol yes bit run forgot hairdresser appointment need home n shower cause prob uham
ham,Please don't text me anymore. I have nothing else to say.,not text anymore
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,okay ur price long legal wen pick y u ave x ams xx
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,m look car buy go drive test
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,request melle melle oru minnaminunginte nurungu vettam set callertune caller press   copy friend callertune
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",wow right not mean guess give boston man change search location nyc change cuz signin page say boston
ham,Umma my life and vava umma love you lot dear,umma life vava umma love lot dear
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,thank lot wish birthday thank make birthday truly memorable
ham,"Aight, I'll hit you up when I get some cash",aight ill hit cash
ham,How would my ip address test that considering my computer isn't a minecraft server,ip address test consider computer not minecraft server
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,know grumpy old people mom like well lie play joke
ham,Dont worry. I guess he's busy.,not worry guess s busy
ham,What is the plural of the noun research?,plural noun research
ham,Going for dinner.msg you after.,go dinnermsg
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,m ok wif cos like   try new thing scar u dun like mah cos u say loud
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,gent try contact weekend draw show win   prize guarantee   claim code k valid hrs ppm
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",wa ur openin sentence formal m fine juz tt m eatin n puttin weighthaha anythin special happen
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",enter cabin pa say   happy bday boss   feel special askd   lunch lunch invite apartment go
spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,winner u specially select   receive     holiday flight inc speak live operator   claim pmin  
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,goodo yes speak friday   eggpotato ratio tortilla need
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,hmmmy uncle inform s pay school directly pls buy food
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,private   account statement   show   unredeemed bonus point claim   identifier code   expire
spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",urgent mobile award   bonus caller prize   final try contact u landline   boxwrc ppm
ham,here is my new address -apples&pairs&all that malarky,new address applespairsall malarky
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,todays voda number end   select receive   award match   quote claim code   standard rate app
ham,I am going to sao mu today. Will be done only at 12 ,go sao mu today  
ham,ÌÏ predict wat time Ì_'ll finish buying?,  predict wat time ll finish buy
ham,"Good stuff, will do.",good stuff
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",knowyetunde not send money send text bother send not involve not impose place apologise
ham,Are you there in room.,room
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,hey girl r u hope u r del r bak long time c sum time lucyxx
ham,K..k:)how much does it cost?,kkhow cost
ham,I'm home.,m home
ham,"Dear, will call Tmorrow.pls accomodate.",dear tmorrowpls accomodate
ham,First answer my question.,answer question
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,sunshine quiz wkly q win sony dvd player u know country algarve txt ansr    sptyrone
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,want   lay tonight want real dog location send direct   ur mob join uks large dog network bt txte gravel   not eca pmsgp
ham,I only haf msn. It's yijue@hotmail.com,haf msn yijuehotmailcom
ham,He is there. You call and meet him,meet
ham,No no. I will check all rooms befor activities,check room befor activity
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,ll rcv msg chat svc free hardcore service text   u u age verify yr network   try
ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,get c lazy type forget   lect see pouch like v nice
ham,"K, text me when you're on the way",k text way
ham,"Sir, Waiting for your mail.",sir wait mail
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",swt think nver tired little thing   lovable person cozsomtime little thing occupy d big heart gud ni
ham,I know you are. Can you pls open the back?,know pls open
ham,Yes see ya not on the dot,yes ya dot
ham,Whats the staff name who is taking class for us?,s staff take class
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",freemsg not reply text m randy sexy female live local luv hear u netcollex ltd p msg reply stop end
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ummmawill check inour life begin qatar pls pray hard
ham,K..i deleted my contact that why?,ki delete contact
ham,Sindu got job in birla soft ..,sindu get job birla soft
ham,The wine is flowing and i'm i have nevering..,wine flow m nevere
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,yup thk cine well cos need     plaza mah
ham,Ok... Ur typical reply...,ok ur typical reply
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,request melle melle oru minnaminunginte nurungu vettam set callertune caller press   copy friend callertune
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",dirt floor window shirt open mouth come flow dream world half chore time joy lot tv show ill guess like thing exist like rain hail mist time
ham,Aaooooright are you at work?,aaooooright work
ham,I'm leaving my house now...,m leave house
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",hello love interview today happy good boy think meare miss
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,customer service annoncement new year delivery wait   arrange delivery
spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,winner u specially select   receive   cash   holiday flight inc speak live operator   claim
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,safe need miss envy see real life
ham,New car and house for my parents.:)i have only new job in hand:),new car house parentsi new job hand
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,m love m excited day spend happy
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,pls stop bootydelious f invite friend reply yes wwwsmsacubootydelious stop send stop frnd
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",bangbabe ur order way u receive service msg   download ur content u goto wap bangb tv ur mobile internetservice menu
ham,I place all ur points on e cultures module already.,place ur point e culture module
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,urgent try contact weekend draw show win   prize guarantee   claim code s valid hrs
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",hi frnd good way avoid missunderstde wit beloved one
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,great escape fancy bridge need lag tomo
ham,Yes :)it completely in out of form:)clark also utter waste.,yes completely formclark utter waste
ham,"Sir, I need AXIS BANK account no and bank address.",sir need axis bank account bank address
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",hmmm thk sure get time hop ard ya   free abt muz u discuss liao
ham,What time you coming down later? ,time come later
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",bloody hell not believe forget surname mr   ill u clue spanish begin m
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",m go to finish bath goodfine night
ham,Let me know when you've got the money so carlos can make the call,let know ve get money carlos
ham,U still going to the mall?,u go mall
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",turn friend stay will not til   ltgt   feel free ahead smoke   ltgt   worth
ham,Text her. If she doesnt reply let me know so i can have her log in,text not reply let know log
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,hi speak maneesha v d like know satisfied experience reply toll free yes
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,lift hope offer money need especially end month approach hurt study anyway gr weekend
ham,Lol no. U can trust me.,lol u trust
ham,ok. I am a gentleman and will treat you with dignity and respect.,ok gentleman treat dignity respect
ham,"He will, you guys close?",guy close
ham,Going on nothing great.bye,go greatbye
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,hello handsome   find job   lazy   work get net mummy   s boytoy   miss
ham,"Haha awesome, be there in a minute",haha awesome minute
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,customer service representative freephone     ampm win guarantee   cash   prize
ham,Have you got Xmas radio times. If not i will get it now,get xmas radio time
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,jus reach home bathe sis net tell u finish k
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,unique find th august wwwareyouuniquecouk
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,m sorry ve join league people not touch mean great deal friend time great personal cost great week
ham,Hi :)finally i completed the course:),hi finally complete course
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,stop suggest stay able or stool
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,hope ve settle new school year wishin gr day
ham,Gud mrng dear hav a nice day,gud mrng dear hav nice day
ham,Did u got that persons story,u get person story
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,hamster dead hey tmr meet pm orchard mrt
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,hi kate evening hope tomorrow bit bloody babyjontet txt u   xxx
ham,"Found it, ENC  &lt;#&gt; , where you at?",find enc   ltgt  
ham,I sent you  &lt;#&gt;  bucks,send   ltgt   buck
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,hello darlin ve finish college txt u finish u love kate xxx
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,account refill successfully inr   ltdecimalgt   keralacircle prepay account balance rs   ltdecimalgt   transaction d kr ltgt
ham,Goodmorning sleeping ga.,goodmorning sleep ga
ham,U call me alter at 11 ok.,u alter   ok
ham,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,  like dat dun buy ericsson oso oredi lar
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",enter cabin pa say   happy bday boss   feel special askd   lunch lunch invite apartment go
ham,"Aight yo, dats straight dogg",aight yo dat straight dogg
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,connection today   ltdecimalgt   refund bill
ham,Both :) i shoot big loads so get ready!,  shoot big load ready
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",s bruv hope great break rewarding semester
ham,Home so we can always chat,home chat
ham,K:)k:)good:)study well.,kkgoodstudy
ham,Yup... How Ì_ noe leh...,yup   noe leh
ham,Sounds great! Are you home now?,sound great home
ham,Finally the match heading towards draw as your prediction.,finally match head draw prediction
ham,Tired. I haven't slept well the past few nights.,tired not sleep past night
ham,Easy ah?sen got selected means its good..,easy ahsen get select mean good
ham,I have to take exam with march 3,exam march
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,yeah think use gt atm register sure s help let know sure ready
ham,Ok no prob. Take ur time.,ok prob ur time
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,os call ubandu run instal hard diskyou use os copy important file system repair shop
ham,"Sorry, I'll call later",sorry ill later
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,u leh course happen lar v romantic jus bit lor thk e nite scenery nice leh
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",  new mobile   txt nokia    collect todayfrom   wwwtcbiz optout gbpmtmsg
ham,Would really appreciate if you call me. Just need someone to talk to.,appreciate need talk
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",u meet ur dream partner soon ur career   flyng start   find free txt horo follow ur star sign e g horo arie
ham,Hey company elama po mudyadhu.,hey company elama po mudyadhu
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",life strict teacher bcoz teacher teach lesson amp conduct exam life conduct exam amp teach lesson happy morning  
ham,Dear good morning now only i am up,dear good morning
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,gandhipuram walk cross cut road right ltgt street road turn right
ham,Dear we are going to our rubber place,dear go rubber place
ham,"Sorry battery died, yeah I'm here",sorry battery die yeah m
ham,Yes:)here tv is always available in work place..,yeshere tv available work place
spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,text   meet sexy today u find date flirt u join   p reply   age eg sam    msg recdthirtyeight pence
ham,I have printed it oh. So  &lt;#&gt;  come upstairs,print oh   ltgt   come upstairs
ham,Or ill be a little closer like at the bus stop on the same street,ill little close like bus stop street
ham,Where are you?when wil you reach here?,youwhen wil reach
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",new theory argument win d situation lose person not argue ur friend     kick amp m correct
spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,u   secret admirer look   contact ufind rreveal think ur specialcall
ham,Tomarrow final hearing on my laptop case so i cant.,tomarrow final hearing laptop case not
ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,pleassssssseeeeee tel v avent sportsx
ham,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",okay shin mean sign sound well
ham,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",tell u dat m baig face watch like e watch u give cos fr u thanx   dat uve today m touch
ham,U don't remember that old commercial?,u not remember old commercial
ham,Too late. I said i have the website. I didn't i have or dont have the slippers,late say website not not slipper
ham,I asked you to call him now ok,ask ok
ham,Kallis wont bat in 2nd innings.,kalli will not bat nd innings
ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,not work oh ok goodnight ill fix ready time wake dearly miss good night sleep
